Sepal_Length, Sepal_Width, Petal_Length, Petal_Width, Label,,,,,,,,,,,
5,3.2,1.2,0.2,0,,,y^=a(z),y,L,x,y^-y,L'0,,,
5.5,3.5,1.3,0.2,0,,,0.882881009,1,0.124564845,1,-0.117118991,,,,
4.9,3.1,1.5,0.1,0,,,,,,4.1,,,,,
4.4,3,1.3,0.2,0,,,,,,1.3,,,,,
5.1,3.4,1.5,0.2,0,,,x ma trâ?n,,,,,L'0,L'0 1/2,,
5,3.5,1.3,0.3,0,,,1,1,,0.6963,,0.5792,0.2896,L'b,0.097104
4.5,2.3,1.3,0.3,0,,,1.5,4.1,,-0.1171,,0.56434,0.28217,L'w1,0.4971783
4.4,3.2,1.3,0.2,0,,,0.2,1.3,,,,-0.01297,-0.006485,L'w2,-0.09993515
5,3.5,1.6,0.6,0,,,,,,,,,,,
5.1,3.8,1.9,0.4,0,,,,,,,,,,,
4.8,3,1.4,0.3,0,,,,,,,,,,,
5.1,3.8,1.6,0.2,0,,,,,,,,,,,
4.6,3.2,1.4,0.2,0,,,,,,,,,,,
5.3,3.7,1.5,0.2,0,,,,,,,,,,,
5,3.3,1.4,0.2,0,,,,,,,,,,,
7,3.2,4.7,1.4,1,,,,,,,,,,,
6.4,3.2,4.5,1.5,1,,,,,,,,,,,
6.9,3.1,4.9,1.5,1,,,,,,,,,,,
5.5,2.3,4,1.3,1,,,,,,,,,,,
6.5,2.8,4.6,1.5,1,,,,,,,,,,,
5.7,2.8,4.5,1.3,1,,,,,,,,,,,
6.3,3.3,4.7,1.6,1,,,,,,,,,,,
4.9,2.4,3.3,1,1,,,,,,,,,,,
6.6,2.9,4.6,1.3,1,,,,,,,,,,,
5.2,2.7,3.9,1.4,1,,,,,,,,,,,
5,2,3.5,1,1,,,,,,,,,,,
5.9,3,4.2,1.5,1,,,,,,,,,,,
6,2.2,4,1,1,,,,,,,,,,,
6.1,2.9,4.7,1.4,1,,,,,,,,,,,
5.6,2.9,3.6,1.3,1,,,,,,,,,,,
6.7,3.1,4.4,1.4,1,,,,,,,,,,,
5.6,3,4.5,1.5,1,,,,,,,,,,,
5.8,2.7,4.1,1,1,,,,,,,,,,,
6.2,2.2,4.5,1.5,1,,,,,,,,,,,
5.6,2.5,3.9,1.1,1,,,,,,,,,,,
5.9,3.2,4.8,1.8,1,,,,,,,,,,,
6.1,2.8,4,1.3,1,,,,,,,,,,,
6.3,2.5,4.9,1.5,1,,,,,,,,,,,
6.1,2.8,4.7,1.2,1,,,,,,,,,,,
6.4,2.9,4.3,1.3,1,,,,,,,,,,,
6.6,3,4.4,1.4,1,,,,,,,,,,,
6.8,2.8,4.8,1.4,1,,,,,,,,,,,
6.7,3,5,1.7,1,,,,,,,,,,,
6,2.9,4.5,1.5,1,,,,,,,,,,,
5.7,2.6,3.5,1,1,,,,,,,,,,,
5.5,2.4,3.8,1.1,1,,,,,,,,,,,
5.5,2.4,3.7,1,1,,,,,,,,,,,
5.8,2.7,3.9,1.2,1,,,,,,,,,,,
6,2.7,5.1,1.6,1,,,,,,,,,,,
5.4,3,4.5,1.5,1,,,,,,,,,,,
6,3.4,4.5,1.6,1,,,,,,,,,,,
6.7,3.1,4.7,1.5,1,,,,,,,,,,,
6.3,2.3,4.4,1.3,1,,,,,,,,,,,
5.6,3,4.1,1.3,1,,,,,,,,,,,
5.5,2.5,4,1.3,1,,,,,,,,,,,
5.5,2.6,4.4,1.2,1,,,,,,,,,,,
6.1,3,4.6,1.4,1,,,,,,,,,,,
5.8,2.6,4,1.2,1,,,,,,,,,,,
5,2.3,3.3,1,1,,,,,,,,,,,
5.6,2.7,4.2,1.3,1,,,,,,,,,,,
5.7,3,4.2,1.2,1,,,,,,,,,,,
5.7,2.9,4.2,1.3,1,,,,,,,,,,,
6.2,2.9,4.3,1.3,1,,,,,,,,,,,
5.1,2.5,3,1.1,1,,,,,,,,,,,
5.7,2.8,4.1,1.3,1,,,,,,,,,,,
